,Duration,Rental Id
,sum,count
Start Date,,
07/02/2014,29728200.0,19564
08/02/2014,17915940.0,10736
09/02/2014,21770940.0,11519
10/02/2014,19017360.0,19085
11/02/2014,19403400.0,18356
12/02/2014,17364180.0,17844
13/02/2014,20329560.0,20747
14/02/2014,13565940.0,12672
15/02/2014,15443220.0,11041
16/02/2014,35733660.0,18171
17/02/2014,19926600.0,18816
18/02/2014,19211220.0,19267
19/02/2014,23421420.0,21284
20/02/2014,20131440.0,19209
21/02/2014,26878560.0,21027
22/02/2014,35051640.0,19663
23/02/2014,23437140.0,13504
24/02/2014,22500360.0,21250
25/02/2014,20095500.0,20482
26/02/2014,25580820.0,23700
27/02/2014,20790840.0,20445
28/02/2014,12682440.0,13608
02/03/2014,20742540.0,11539
03/03/2014,17362080.0,17961
04/03/2014,23716380.0,22811
05/03/2014,27850320.0,24848
06/03/2014,24759600.0,24412
07/03/2014,28670580.0,24106
08/03/2014,55721460.0,25103
09/03/2014,85324380.0,33340
10/03/2014,28710780.0,24109
11/03/2014,28727460.0,23628
12/03/2014,32958360.0,26878
13/03/2014,34986420.0,27234
14/03/2014,40138980.0,27781
15/03/2014,57343320.0,29139
16/03/2014,87044580.0,33881
17/03/2014,32091600.0,26191
18/03/2014,26730540.0,25276
19/03/2014,27150780.0,26459
20/03/2014,24109260.0,23478
21/03/2014,25342980.0,23591
22/03/2014,35136300.0,18833
23/03/2014,34261560.0,17279
24/03/2014,26673120.0,23825
25/03/2014,18672360.0,19234
26/03/2014,20137440.0,20284
27/03/2014,22873620.0,23238
28/03/2014,27405300.0,23879
29/03/2014,54238020.0,28970
30/03/2014,49272480.0,26186
31/03/2014,28676820.0,26491
01/04/2014,42691620.0,29476
02/04/2014,36069240.0,28598
03/04/2014,37542600.0,28015
04/04/2014,32758020.0,27092
05/04/2014,53122320.0,25302
06/04/2014,30965700.0,16150
07/04/2014,20035560.0,18696
08/04/2014,32063760.0,26388
09/04/2014,39445860.0,29343
10/04/2014,41443380.0,28982
11/04/2014,41240820.0,28188
12/04/2014,48763800.0,25339
13/04/2014,76488420.0,30975
14/04/2014,42487980.0,28469
15/04/2014,40696980.0,29675
16/04/2014,44874960.0,30680
17/04/2014,38013180.0,27388
18/04/2014,42178500.0,21819
19/04/2014,44068200.0,21082
20/04/2014,12833040.0,7062
21/04/2014,40801800.0,20219
22/04/2014,23697540.0,22468
23/04/2014,31295640.0,26830
24/04/2014,31953300.0,28799
25/04/2014,20049420.0,20158
26/04/2014,38676000.0,24781
01/05/2014,21816780.0,16450
02/05/2014,34036680.0,26238
03/05/2014,66827700.0,30985
04/05/2014,74719380.0,32493
